"0,16700","0,15500","0,41100","-0,06600","0,10300","0,14800","-0,09200","0,08800","0,23800","0,28000","0,08700","0,22000","0,11700","0,12400","0,05500","0,19200","0,24300","0,15600","0,13800","0,15800","0,12300","0,13300","-0,01200","0,13800","0,21100","0,19800","0,04200","-0,01500","0,06300","0,06900","0,18500","-0,02700","0,07000","0,07600","0,04800","0,13100","0,21900","0,02300","-0,02400"
"0,15500","0,92400","0,35900","0,58600","0,40200","0,27600","-0,00100","0,30600","0,61200","0,28300","0,21700","0,32400","-0,07900","0,16000","0,46300","0,05300","0,29700","0,01700","0,16800","0,05100","-0,09100","0,40800","0,27100","0,30300","0,19300","0,53600","0,14200","0,60600","0,34000","0,13000","0,50900","0,46100","0,32300","-0,07200","-0,15800","-0,28900","0,13900","0,14100","-0,12700"
"0,41100","0,35900","2,23100","0,39200","0,67800","0,73600","0,48100","0,62200","1,03900","0,91100","0,19600","1,30900","0,69600","0,78400","0,23200","0,94500","1,40400","0,71600","0,67700","0,66600","0,19400","0,64500","0,04000","0,53300","0,78500","0,62200","0,15400","-0,54000","0,62100","0,17100","0,92400","0,04800","0,31400","0,38100","0,17700","0,80500","1,18900","0,37900","-0,18500"
"-0,06600","0,58600","0,39200","1,86500","0,61600","0,33100","0,55800","1,12800","0,51600","-0,08500","0,46700","0,41400","-0,02900","0,24500","-0,01200","0,25000","0,58400","0,09700","0,23700","-0,01100","-0,86600","0,26500","0,12600","0,25000","-0,21200","0,25700","0,15100","0,33300","0,51300","-0,01500","0,47100","0,54700","0,33600","-0,20800","-0,44400","-0,64400","0,02200","0,20100","0,00000"
"0,10300","0,40200","0,67800","0,61600","1,64100","0,31900","0,03300","0,54600","1,52100","0,81100","0,21200","0,15900","0,18300","0,12600","0,33600","0,22400","0,46700","0,17300","0,26600","0,03200","-0,17000","0,19800","0,69900","0,32800","-0,69800","0,11200","0,19800","0,45900","0,29200","0,07900","0,52100","0,32400","0,34900","-0,13100","-0,34700","0,00200","0,48500","0,24500","0,01500"
"0,14800","0,27600","0,73600","0,33100","0,31900","0,64000","0,12200","0,35600","0,45100","0,39200","0,13700","0,40300","0,21100","0,22900","0,00600","0,27000","0,64800","0,27900","0,26200","0,23000","0,00600","0,17000","0,06500","0,15500","0,48200","0,34200","0,09400","0,09500","0,41800","0,09400","0,44700","-0,04300","0,05000","0,16100","-0,02000","0,33900","0,47100","0,19400","-0,13000"
"-0,09200","-0,00100","0,48100","0,55800","0,03300","0,12200","1,55500","0,28300","0,08200","-1,06600","-0,26000","0,45200","-0,21100","0,04900","-0,02800","0,79400","1,01000","0,74500","0,89000","0,55900","-0,04800","0,21400","0,09200","0,03000","0,90300","0,75600","0,09000","0,19800","0,33100","0,09900","0,19000","-0,07400","0,29500","-0,19600","0,01300","-0,08300","0,58900","0,32700","-0,22400"
"0,08800","0,30600","0,62200","1,12800","0,54600","0,35600","0,28300","1,20800","0,70300","0,44700","0,82800","0,45700","0,38800","0,32300","-0,23000","0,42400","0,80200","0,31600","0,20600","0,08800","-0,24500","0,19800","-0,25400","0,29500","0,16100","0,36800","0,13300","0,15500","0,47200","0,07700","0,44700","0,21300","0,21000","0,03000","-0,21000","-0,14700","0,47000","0,22500","0,12700"
"0,23800","0,61200","1,03900","0,51600","1,52100","0,45100","0,08200","0,70300","1,87100","1,16900","0,45400","0,52900","0,41600","0,22700","0,44600","0,46300","0,83800","0,39500","0,48400","0,18100","0,04700","0,42300","0,80400","0,45400","-0,08400","0,63300","0,32200","0,53300","0,44900","0,17300","0,68100","0,33500","0,50300","0,00800","-0,24100","0,08900","0,86000","0,27700","-0,00600"
"0,28000","0,28300","0,91100","-0,08500","0,81100","0,39200","-1,06600","0,44700","1,16900","3,79600","1,34900","0,65100","1,77600","0,80300","0,59500","-0,05200","0,10500","-0,06500","-0,42000","-0,27200","0,32200","0,40200","0,04000","0,54000","0,20400","0,03500","0,31000","0,31000","0,17900","0,22600","0,71500","0,08200","0,15800","0,57700","-0,09600","0,36900","0,79100","0,18000","0,17400"
"0,08700","0,21700","0,19600","0,46700","0,21200","0,13700","-0,26000","0,82800","0,45400","1,34900","1,53300","0,45300","0,76800","0,35300","-0,45400","0,29800","0,47400","0,26100","-0,02100","-0,03500","0,24300","0,10900","-0,43800","0,17300","0,39000","0,31100","0,14900","0,38700","0,20500","0,10200","0,18800","0,09600","0,12900","0,19400","-0,13800","-0,09600","0,52100","0,21600","0,26800"
"0,22000","0,32400","1,30900","0,41400","0,15900","0,40300","0,45200","0,45700","0,52900","0,65100","0,45300","1,25400","0,56700","0,56500","0,11500","0,73500","1,05500","0,56000","0,41700","0,31100","0,03000","0,50200","0,08000","0,28400","0,88700","0,52200","0,09100","-0,27900","0,46900","0,13200","0,54700","0,02000","0,29100","0,22800","0,05800","0,22900","0,87300","0,26200","-0,07300"
"0,11700","-0,07900","0,69600","-0,02900","0,18300","0,21100","-0,21100","0,38800","0,41600","1,77600","0,76800","0,56700","2,17700","0,75200","-0,49500","0,20200","0,55600","0,04600","-0,50700","-0,20800","0,06100","0,10500","-0,22500","0,18400","0,29400","0,05800","0,09400","-0,27600","0,31200","0,06300","0,35500","-0,16100","0,05800","0,56800","0,19400","0,59200","1,03300","0,16800","0,16700"
"0,12400","0,16000","0,78400","0,24500","0,12600","0,22900","0,04900","0,32300","0,22700","0,80300","0,35300","0,56500","0,75200","1,08100","-0,05100","0,50400","0,71300","0,31300","0,19200","0,18300","0,03000","0,31200","-0,26900","0,30200","0,47900","0,07600","0,04100","-0,18200","0,30500","0,13500","0,59100","-0,12300","0,03900","0,27100","0,53200","0,38700","0,58700","0,26000","-0,08700"
