"0,12347","0,13522","0,17131","0,06977","0,03735","0,08457","0,08612","0,13730","0,14291","0,10343","0,09868","0,12953","0,10862","0,01274","-0,02612","0,09432","0,12892","0,09820","0,01984","0,01472","-0,02352","0,05812","0,01021","0,02986","-0,02906","0,02814","0,03183","0,03892","0,05394","0,05455","0,04711","0,14842","0,01846","-0,01804","-0,02744","-0,00702","0,18223","0,04592","0,04303"
"0,13522","0,48861","0,28588","0,17614","0,11277","0,13780","-0,04341","0,25344","0,27410","0,20174","0,21593","0,26888","0,19553","0,08817","0,00986","0,14488","0,34191","0,16853","0,03087","0,04143","-0,01291","0,17625","0,01908","0,09919","-0,01323","0,06060","0,04070","0,05206","0,21983","0,09833","0,11685","0,29585","0,04854","-0,06412","0,06951","0,06824","0,30011","0,09397","0,04390"
"0,17131","0,28588","0,47317","0,21299","0,22515","0,19868","0,14424","0,25613","0,34328","0,23916","0,20025","0,37160","0,21887","0,11680","0,06466","0,23450","0,31749","0,19376","0,09072","0,05575","-0,09708","0,18712","0,11967","0,13798","0,02481","0,01457","0,10575","0,02151","0,12334","0,10864","0,16705","0,23607","0,09134","-0,03357","0,04160","-0,03370","0,38822","0,09095","0,11761"
"0,06977","0,17614","0,21299","0,27805","0,17054","0,10739","0,10871","0,27369","0,20179","0,04340","0,11568","0,16038","0,16403","0,12442","0,06419","0,11667","0,11554","0,03206","-0,00119","0,00513","-0,10895","0,12479","0,00157","0,11027","0,08071","0,03289","0,08362","0,05498","0,02295","0,04597","0,06814","0,08477","0,05101","0,04734","0,13271","0,03561","0,16457","0,07997","0,02225"
"0,03735","0,11277","0,22515","0,17054","0,48990","0,19973","0,07938","0,15029","0,41951","0,07717","0,02358","0,08709","0,13047","0,11007","0,12802","0,19374","0,25351","0,11324","-0,03955","0,14727","-0,05097","0,20260","0,25649","0,30482","-0,25059","-0,11949","0,07987","0,13031","0,06699","0,06696","0,20236","0,25165","-0,01328","-0,00083","0,23707","0,13549","0,34178","0,07476","0,04518"
"0,08457","0,13780","0,19868","0,10739","0,19973","0,27196","0,02577","0,14281","0,22623","0,10056","0,12860","0,14059","0,01306","0,00289","-0,03413","0,16725","0,28247","0,17673","0,01235","0,10551","-0,01476","0,13794","0,07061","0,13329","-0,11283","0,01178","0,02291","0,13701","0,10856","0,02638","0,11438","0,30286","-0,02349","-0,05173","0,10901","0,04625","0,31858","0,01226","0,06593"
"0,08612","-0,04341","0,14424","0,10871","0,07938","0,02577","0,36758","0,09183","0,10980","0,01293","-0,03048","0,06704","0,17203","0,09901","0,07980","0,09911","0,02713","0,02661","0,04346","0,00098","-0,02539","0,08566","0,07076","0,03773","0,01864","0,00633","0,06391","0,06872","-0,02983","0,04521","0,08942","0,06198","0,06574","0,11954","-0,11093","0,05602","0,06584","0,06763","-0,02994"
"0,13730","0,25344","0,25613","0,27369","0,15029","0,14281","0,09183","0,40779","0,28567","0,03832","0,20043","0,20457","0,18148","0,07603","0,02303","0,14624","0,14972","0,04548","-0,03504","0,02773","-0,07671","0,12339","-0,06827","0,12559","-0,00032","0,04424","0,08031","0,04134","0,05005","0,07979","0,07443","0,21610","0,02648","0,08046","0,16518","0,06077","0,20706","0,06939","0,05950"
"0,14291","0,27410","0,34328","0,20179","0,41951","0,22623","0,10980","0,28567","0,56054","0,26477","0,15204","0,28814","0,25238","0,12958","0,07757","0,25195","0,43342","0,28572","0,08608","0,18024","-0,04083","0,25985","0,26454","0,28471","-0,18737","-0,01340","0,07917","0,13464","0,20735","0,11943","0,22347","0,38767","0,06031","-0,01689","0,16216","0,12266","0,50689","0,12542","0,06847"
"0,10343","0,20174","0,23916","0,04340","0,07717","0,10056","0,01293","0,03832","0,26477","1,07147","0,26164","0,41604","0,52161","0,16448","0,03440","0,12244","0,41720","0,44246","0,22482","0,07620","0,12351","0,16460","0,22850","-0,08442","0,04717","0,25965","0,08192","0,05513","0,33466","0,11699","0,06860","0,29939","0,10615","-0,01370","-0,36709","0,01619","0,41274","0,05790","-0,04040"
