"","Species","ISPM","ISNSL","ISPNS","PMZS","PMZI","PMMT","NSLNA","NSLZS","NSLZI","NABR","NAFM","NAPNS","BRPT","BRAPET","PTFM","PTAPET","PTBA","PTEAM","PTZYGO","PTTSP","FMZS","FMMT","ZSZI","ZIMT","ZIZYGO","ZITSP","MTPNS","PNSAPET","APETBA","APETTS","BAEAM","EAMZYGO","ZYGOTSP","LDAS","BRLD","OPILD","PTAS","JPAS","BAOPI"
"1","Cercocebus_agilis","2.68857247250707","5.63347318394141","10.8326975295808","7.55508906548462","6.50076701941346","5.46277290074962","4.74872441224781","4.46822544723189","4.19145841928219","2.2682745072406","2.67700889015604","4.65712568415218","1.09347863449684","3.47422116881976","3.34129540184177","2.93071200894827","4.76723407540256","3.64016034947792","4.00957831750441","1.4090309580503","-0.182007911338591","5.70900120473532","1.96007292503266","2.50211947780436","4.24155344919657","3.73424745671299","2.74662770370028","1.82186058168044","2.71097003277439","0.933147884924175","3.69068230162256","3.35621687232069","3.28148267721469","0.0735001907718456","3.24856239659015","1.82811301920922","3.84146651139597","2.93028206982023","0.258403130127185"
"2","Cercocebus_torquatus","2.54369453594246","5.54870994991466","12.4188094133031","10.6732868080533","9.2228617893985","7.75541565121186","8.08826176025983","7.54456689213171","7.19020249871516","3.39311966547077","2.94471826522908","4.17237369429967","0.601311174215994","2.56725068183615","3.49248656024894","2.78502814832635","4.80892767362609","4.98181795595235","4.93793893084898","0.997343443486944","-0.0524024702554016","5.99042986126565","3.05461755823884","3.48115658359954","4.49817170117251","4.72337104995389","2.62642198120788","2.0695036499921","3.19468728489229","1.12378318136065","5.20524610676063","4.55410280643143","5.03303787166492","0.405740375977345","1.16612950800555","1.17541569992913","4.05803533944847","3.5524042287007","0.96121955523504"
"3","Cercopithecus_ascanius","0.741078703742037","2.65280981907536","4.80453064346256","3.11547204723146","2.88022189864156","2.7545098881092","1.49545551831544","1.2577114067176","1.86652861852824","3.57829854458389","1.52782097266535","2.27703430181774","1.63317825303587","2.53445279778837","2.45789846256425","1.49592413599592","2.92510456597711","1.64131959846544","1.26146405374799","-0.232937090948082","1.05146075064869","3.09688154908695","0.971656826766175","0.964809403105859","2.710479444945","3.03635263288396","1.59146439913012","1.56005164229137","2.0325827394207","0.607810177987133","2.45657226762276","2.26764775891069","1.43588316339382","0.509101070887709","0.144387943031425","0.543696207908582","1.89926376418325","-0.620851846821115","0.99805521723267"
"4","Cercopithecus_campbelli","1.16291733570613","2.80294553811407","5.69305802150019","4.47630383114053","3.50621319358185","2.96323273241629","3.75562565475946","2.13475683043185","3.25800276273376","2.64115838317334","2.16307388227172","2.58602464158086","1.453404456583","1.87835390950721","2.29429819462887","0.939142752618533","3.42460552104046","3.34706883744549","2.64965847181331","1.51961073127955","0.576718190342598","3.57960040658261","2.02349296003503","1.05840041813463","4.79608781960717","3.59447456501812","2.9657602398558","2.757965969762","2.96112918649926","0.777964456708418","2.99421985476787","1.75158785892011","1.05613551859773","0.56774364572215","1.69970382892783","0.686683532897629","3.19227203563788","-0.641352118834412","0.44850341728084"
"5","Cercopithecus_cephus","0.88208904599656","2.15333723039942","5.45297727858009","3.72371066266332","3.61810952070556","2.99281714625668","2.77204899782377","2.02503719698366","2.71197309336018","2.03897431683562","1.81760320674287","2.68160168498113","1.22905359976783","1.98240899602492","3.16189415632314","0.519588416126307","2.35006764457431","1.25781737065034","1.36739281944632","-0.691147845547534","0.434044379971757","2.61792945477539","1.51820873423899","0.668445278548511","3.37534501973668","3.53171307891324","1.6312798243282","1.37013645727235","2.67898914175723","0.768794780816433","2.65779659328224","1.63614569172891","2.51766381206779","1.13965943156483","1.09962828670402","1.62509311889679","1.36380582403672","0.241890154960984","0.104595305824574"
"6","Cercopithecus_diana","1.27062151870538","5.00823623561917","6.14811860395677","4.79227879423609","4.47498833508525","3.20814983258128","2.49621096175659","2.13896079684967","3.03158823972242","2.40951340397793","2.04708722506294","2.22954276408884","0.847573117696186","1.54218471792678","2.73318399478909","0.929136998744067","2.62592799149002","2.06649532630122","2.39574196813791","-0.114326485450898","0.978957488089771","3.59175920283443","1.35199312955577","0.841685661991685","3.27050965416171","3.19583049277869","2.58074870208502","2.46572679398201","2.58166052989732","0.989432374837046","2.17934621900046","2.11210536455295","2.30960386568099","-0.103488135236319","0.603311351688852","0.166125306960701","2.3425141863582","-0.383733134884228","0.931961046148377"
"7","Cercopithecus_hamlyni","1.28716049524459","3.04244292394039","6.42726345554578","5.51733229101168","4.58446103457205","4.34631356933828","3.84880519312309","3.0386484968898","2.82660904943268","2.59614868027808","1.14230028379877","2.63172914658753","1.37165041146054","1.9998515223351","2.88202541331107","0.707472611850061","2.200179351865","2.2090717296531","1.85255326122084","-0.253585607055728","0.240358123448665","3.82641227373916","1.38569635551694","1.26005986421982","3.24850639567656","3.26676563501164","1.53057327530357","1.54205836011831","2.33431688569168","0.942392594157779","2.52211395983358","2.65004622299903","2.10361212167902","0.728215822734622","1.5386450440751","1.0659834255593","2.07972016817891","0.375109331357837","0.800231870072402"
"8","Cercopithecus_lhoesti","1.88063875690744","5.20945091174499","7.95502548646947","7.27266264675882","6.44449520554998","4.87041811313876","4.60783509857253","4.07238844406088","4.60933132129852","3.08398941699183","2.39173010328562","3.31898113861343","1.08374436300482","2.27297562164755","2.13605639284105","2.07663834275299","3.72137305175646","3.97864396330322","3.89236338719174","0.98094569564809","0.791120563028519","5.18383298947485","2.04450950348507","1.43784437008398","4.74994244395811","3.08900939510711","2.52017667969479","2.8108372224714","2.33799393272646","0.757535351454646","3.5549836028691","2.8084565935482","2.89158708698917","0.656477766210315","2.30094980462438","0.914230183774031","3.7306188970507","0.0537347799737198","1.11782759920528"
"9","Cercopithecus_mitis","1.39183736250276","3.66565137961735","7.44896984204276","4.99088622917692","4.56068832941838","3.82046594915298","2.43272631666042","3.33556692920321","3.42732891684413","4.46670946845046","2.02701773100632","2.67237633559481","1.68934543334294","1.544420060061","2.54615992734505","1.0585673820619","3.23675528892204","3.14863083054302","3.15104922467076","0.441052579047815","0.453234568504477","4.28765003564537","1.39232275573071","1.1655564036378","4.15587361534886","4.58217041992982","2.75470392390963","1.77715544500009","2.34822249676231","0.826908629943482","2.54877691666102","2.71100098762174","2.15278804755015","0.591268288252248","0.891514652776237","0.672939150100373","2.75621865018749","0.0258351700557604","0.345448165038995"
"10","Cercopithecus_mona","1.60572170763319","3.68482593530025","7.01749549274753","5.00338788824456","4.68851362853109","4.18827347912966","3.18614567382583","2.4468941660307","3.62022709395853","2.96354172172663","2.12487310059392","3.15788434242263","1.27144653056311","3.00454451234381","2.97359459310138","1.41630536062482","3.94292556212402","3.33695261531121","2.63844843172015","0.425960479741564","0.343568884489974","3.77029148348549","2.27372627933196","1.3522007749539","3.65289624100656","4.20710851143652","2.33892372981265","1.89968158452012","3.28574098345915","1.32373985544366","3.46443231656754","3.03165626074502","2.18607093510888","1.35016864522158","1.32625744581704","1.61984300635926","2.5215796391959","0.197322806452107","0.912074508535424"
