"","matings.especies","dimor_abs","normas","align_1","align_2","align_3","align_4","align_5","align_6","align_7","align_8"
"1","Cercocebus_agilis",0.1480546010955,0.869487878105319,0.978751073021118,0.0175121187944142,0.0751838984753164,0.0401517829747646,0.0736899534834124,0.0694254721857925,0.0144075576049158,0.0265106208220759
"2","Cercocebus_torquatus",0.1480546010955,0.869487878105319,0.978751073021118,0.0175121187944142,0.0751838984753164,0.0401517829747646,0.0736899534834124,0.0694254721857925,0.0144075576049158,0.0265106208220759
"3","Cercopithecus_ascanius",0.0956552873863372,0.91273707422416,0.969552087053078,0.0652851934489418,0.00876357980209243,0.0426460661268507,0.0608156519926797,0.0487848553857877,0.0848050780152713,0.00195186024855975
"4","Cercopithecus_campbelli",0.0956552873863372,0.91273707422416,0.969552087053078,0.0652851934489418,0.00876357980209243,0.0426460661268507,0.0608156519926797,0.0487848553857877,0.0848050780152713,0.00195186024855975
"5","Cercopithecus_cephus",0.0956552873863372,0.91273707422416,0.969552087053078,0.0652851934489418,0.00876357980209243,0.0426460661268507,0.0608156519926797,0.0487848553857877,0.0848050780152713,0.00195186024855975
"6","Cercopithecus_diana",0.0956552873863372,0.91273707422416,0.969552087053078,0.0652851934489418,0.00876357980209243,0.0426460661268507,0.0608156519926797,0.0487848553857877,0.0848050780152713,0.00195186024855975
"7","Cercopithecus_mitis",0.0956552873863372,0.91273707422416,0.969552087053078,0.0652851934489418,0.00876357980209243,0.0426460661268507,0.0608156519926797,0.0487848553857877,0.0848050780152713,0.00195186024855975
"8","Cercopithecus_neglectus",0.0956552873863372,0.91273707422416,0.969552087053078,0.0652851934489418,0.00876357980209243,0.0426460661268507,0.0608156519926797,0.0487848553857877,0.0848050780152713,0.00195186024855975
"9","Cercopithecus_nictitans",0.0956552873863372,0.91273707422416,0.969552087053078,0.0652851934489418,0.00876357980209243,0.0426460661268507,0.0608156519926797,0.0487848553857877,0.0848050780152713,0.00195186024855975
"10","Chlorocebus_aethiops",0.110406222443024,0.899856303509845,0.968639435152012,0.0774201882151393,0.0155426230165472,0.0242341066212558,0.0460494114727311,0.0591559401478733,0.107809407064417,0.0172183420014048
"11","Colobus_angolensis",0.0685481420983494,0.936633663809611,0.94823628539802,0.181972764914166,0.0644824587630913,0.0621981559579974,0.0391354259350027,0.0760457624885289,0.0552613524788071,0.0722219050145044
"12","Colobus_guereza",0.0685481420983494,0.936633663809611,0.94823628539802,0.181972764914166,0.0644824587630913,0.0621981559579974,0.0391354259350027,0.0760457624885289,0.0552613524788071,0.0722219050145044
"13","Erythrocebus_patas",0.178965835124899,0.841713197022609,0.965488462024787,0.0175645871155079,0.0259066633120462,0.0593126386832362,0.0909567990375801,0.080249833424181,0.0691232259594494,0.0568515745104859
"14","Gorilla_gorilla",0.192060587089708,0.840182750989143,0.889833824152185,0.343298480126758,0.0528023202567174,0.0936343669735838,0.0929174414886523,0.14259544412044,0.0374961069952961,0.113216991323268
"15","Hylobates_agilis",0.0149026168929547,0.984034480096379,0.797043236243525,0.0388549978970034,0.217841069338377,0.0968216189863213,0.229406521069783,0.000866760342884072,0.119167910483259,0.0092060346283596
"16","Hylobates_lar",0.0149026168929547,0.984034480096379,0.797043236243525,0.0388549978970034,0.217841069338377,0.0968216189863213,0.229406521069783,0.000866760342884072,0.119167910483259,0.0092060346283596
"17","Hylobates_muelleri",0.0149026168929547,0.984034480096379,0.797043236243525,0.0388549978970034,0.217841069338377,0.0968216189863213,0.229406521069783,0.000866760342884072,0.119167910483259,0.0092060346283596
"18","Macaca_assamensis",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"19","Macaca_cyclopis",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"20","Macaca_fascicularis",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"21","Macaca_fuscata",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"22","Macaca_mulatta",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"23","Macaca_nemestrina",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"24","Macaca_nigra",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"25","Macaca_sylvanus",0.117348222780944,0.894987779504129,0.981889989843446,0.0783329989819217,0.00605704222718373,0.0307262975472074,0.049540762711518,0.044300840000587,0.011476217085372,0.0418741741725855
"26","Mandrillus_leucophaeus",0.290815479166546,0.771711905911605,0.96934863124162,0.206135375093323,0.042135454333988,0.0167566073530646,0.0191401721537658,0.00367236551488779,0.0252582114789349,0.00433941502560431
"27","Mandrillus_sphinx",0.290815479166546,0.771711905911605,0.96934863124162,0.206135375093323,0.042135454333988,0.0167566073530646,0.0191401721537658,0.00367236551488779,0.0252582114789349,0.00433941502560431
"28","Pan_paniscus",0.0620109642838767,0.941617970955738,0.936719561508762,0.0976010461899915,0.0608758675837462,0.129327416701888,0.0276588202961707,0.108803070115279,0.130371900251614,0.036821523320563
"29","Pan_troglodytes",0.0620109642838767,0.941617970955738,0.936719561508762,0.0976010461899915,0.0608758675837462,0.129327416701888,0.0276588202961707,0.108803070115279,0.130371900251614,0.036821523320563
"30","Papio_hamadryas",0.214298655739487,0.82801481561822,0.966117445274703,0.207606314043282,0.0354085121756143,0.0695397501735737,0.0667093440042708,0.00958468656821628,0.0272408696963156,0.012845102081109
"31","Pongo_pygmaeus",0.153757570323194,0.866605438875248,0.942466806688994,0.157928823840229,0.0092167309642177,0.0600521839295039,0.0121339940370942,0.0424055693413239,0.115468757193514,0.0895370395595824
"32","Presbytis_melalophos",0.0152200748162728,0.985897258402447,0.684622168758731,0.460892418696612,0.0475136322397114,0.126372959134109,0.252109810509122,0.0600469429354064,0.233314066116386,0.130443505293461
"33","Presbytis_rubicunda",0.0152200748162728,0.985897258402447,0.684622168758731,0.460892418696612,0.0475136322397114,0.126372959134109,0.252109810509122,0.0600469429354064,0.233314066116386,0.130443505293461
"34","Procolobus_verus",0.0570016076457543,0.952377225784811,0.780008664680947,0.371645287913541,0.290664461527646,0.182757323389027,0.0592055141567934,0.0481761756912594,0.160997420075628,0.00479988402111373
"35","Theropithecus_gelada",0.153979769321488,0.878208056153546,0.96573288970456,0.0325872306842499,0.0887203253818704,0.037342429184038,0.0859889805290974,0.0685558225152056,0.0013206124660867,0.0429370725990482
"36","Trachypithecus_cristatus",0.0700886526555452,0.937271562178633,0.898790512633051,0.301124975988403,0.114224901699904,0.0923227087366143,0.17061457310764,0.113644139414351,0.032781994193878,0.0428589365001216
"37","Trachypithecus_obscurus",0.0700886526555452,0.937271562178633,0.898790512633051,0.301124975988403,0.114224901699904,0.0923227087366143,0.17061457310764,0.113644139414351,0.032781994193878,0.0428589365001216
"38","Trachypithecus_phayrei",0.0700886526555452,0.937271562178633,0.898790512633051,0.301124975988403,0.114224901699904,0.0923227087366143,0.17061457310764,0.113644139414351,0.032781994193878,0.0428589365001216
"39","Alouatta_belzebul",0.163375651156151,0.856910611553725,0.959336214871061,0.0470346942858064,0.156916967226398,0.0611196098158616,0.0435156419064594,0.137832248847298,0.00747918308822913,0.017151253136336
"40","Alouatta_caraya",0.145308527084174,0.876440425823165,0.971657435007975,0.016038675255584,0.136750436688454,0.0030805756897934,0.0599222678888167,0.0932356313821205,0.0169633336878902,0.0458419492401748
"41","Alouatta_palliata",0.107487583665671,0.900495126570403,0.978329800941101,0.0409734623452596,0.0119163817833203,0.0360428591522539,0.119928304328982,0.00357032654252661,0.0332487366231842,0.0220168816563025
"42","Alouatta_seniculus",0.136246298209844,0.883875242812891,0.909700860849641,0.0120658272583354,0.310890514955611,0.0304527248252705,0.0271250625657494,0.175374904369816,0.0290399147849953,0.0272284211722302
"43","Ateles_geoffroyi",0.0158063345202837,0.98369851246356,0.623277291484103,0.533291110274864,0.336543353736527,0.00669889149724443,0.0327052211528191,0.155168746534618,0.185330859653943,0.051498951268881
"44","Ateles_marginatus",0.0162201950521925,0.984386701479223,0.464444673159794,0.0970640157874531,0.612949875493639,0.0815919962748045,0.353507740329621,0.0124883984678393,0.110745525535707,0.0114699880477487
"45","Ateles_paniscus",0.009233166002632,0.990314432708626,0.572257239500563,0.0863248819799826,0.2713626772702,0.0320952264968673,0.282843681237589,0.288698231601037,0.0571640984913595,0.27252953722591
"46","Brachyteles_arachnoides",-0.00184378703977686,1.00335636662489,0.186234438026459,0.491584333500774,0.181936091042784,0.0655792491338134,0.226949110286213,0.188980351987876,0.0167410714009841,0.274299004744102
"47","Cacajao_calvus",0.0569645016452343,0.943885628902605,0.935518597959103,0.185931292622745,0.0101356626280788,0.141447933466221,0.125338255886228,0.119967854483938,0.0139338404903432,0.0163457054586812
"48","Callicebus_personatus",0.0195841953990194,0.981620952737439,0.73950488868841,0.163650700355268,0.133488274165651,0.140968178934092,0.104069045624636,0.0444483176280229,0.197973052494545,0.185354377936618
"49","Callithrix_geoffroyi",-0.00310275873755753,1.00282356158182,0.254077821804868,0.253708412942441,0.427919556261142,0.00618995824598652,0.00417897481354644,0.243940957596624,0.245519716370561,0.195063965262119
"50","Callithrix_jacchus",0.000715097101600405,0.999443824712046,0.0928813895695932,0.376657026614105,0.211858830685219,0.255168444288752,0.033047988588753,0.0307101723065981,0.132062201774283,0.181730727388847
"51","Callithrix_kuhlii",-0.00753783888035521,1.00782702139642,0.231340295278747,0.178751621675795,0.600256908759529,0.334274829593422,0.2454643709338,0.299600054794548,0.238708879974731,0.0939325343087326
"52","Callithrix_penicillata",-0.00221386158266206,1.00122372338426,0.228656792137396,0.28308051643182,0.502735653977262,0.173030574885482,0.164193672198064,0.0305771935410594,0.232151521858045,0.2273838345887
"53","Cebus_albifrons",0.0512871460874432,0.953776951461414,0.84537454106583,0.337464029675484,0.00465063817937378,0.161821230846902,0.0299182828897358,0.0132901694876467,0.074512542968006,0.034116341935567
"54","Sapajus_apella",0.0836728922327548,0.923776677700937,0.976742296952735,0.0542430729748716,0.00611275085700363,0.00839930004041724,0.0465269626511381,0.0378574169831743,0.0298029975384543,0.00720340103216041
"55","Sapajus_libidinosus",0.0757164883467466,0.929504614684533,0.951946682925304,0.166818100873671,0.0111345884848476,0.0869473653959102,0.102361081198924,0.0568245745730598,0.0456510816671363,0.00864243135855511
"56","Sapajus_robustus",0.0908266486209006,0.918460931382853,0.960780912045513,0.173495039473575,0.0460714387733892,0.0954550569297959,0.0865068700936137,0.0479793997640876,0.0370212099413407,0.0492077606155291
"57","Chiropotes_albinasus",0.0288021895906684,0.970942041344443,0.84342332525893,0.130173500526888,0.0141201437948932,0.155299622759419,0.252715346588125,0.0104222525352084,0.115318612154906,0.0354736483636657
"58","Lagothrix_lagothricha",0.0389105272006566,0.961619536726198,0.908197942106255,0.069253019390342,0.260068299184266,0.0410775728524685,0.0555736362096846,0.0928152472471917,0.00828970190216063,0.0158381456484994
"59","Pithecia_pithecia",0.0524637822300492,0.950171968867297,0.973169828687168,0.0138253070125999,0.0401208722234887,0.0551729935695228,0.0383746040611842,0.0170113623546488,0.0224797126014343,0.0813923817055068
"60","Saguinus_geoffroyi",0.00280978393470704,0.996023153174631,0.301175513203013,0.36004157825599,0.293376685240054,0.152777139962752,0.245277531052796,0.0573807589613256,0.437739620824746,0.0461402251292074
