"species" "X18L" "X12L"
"148" "Pan_troglodytes_schweinfurthii" 5 5
"149" "Pan_paniscus" 23 33
"150" "Bunopithecus_hoolock" 25 20
"151" "Hylobates_pileatus" 8 11
"152" "Hylobates_agilis" 25 13
"153" "Hylobates_muelleri" 20 26
"154" "Hylobates_muelleri_funereus" 3 1
"155" "Hylobates_lar_carpenteri" 17 19
"156" "Nomascus_" NA 2
"157" "Hylobates_lar_vestitus" NA 2
"158" "Symphalangus_syndactylus" 30 20
"159" "Hylobates_" 3 3
"160" "Hylobates_lar" 11 13
"161" "Hylobates_klossii" 4 3
"162" "Nomascus_concolor" 6 3
"163" "Hylobates_moloch" 8 6
"164" "Nomascus_gabriellae" 9 9
"165" "Nomascus_leucogenys" 4 15
"166" "Nomascus_siki" NA 2
"167" "Hylobates_lar_entelloides" 17 9
"168" "Hylobates_muelleri_abbotti" 4 2
"169" "Bunopithecus_hoolock_leuconedys" 5 1
"170" "Nomascus_concolor_lu" NA 1
"171" "Cercopithecus_petaurista" 15 13
"172" "Cercopithecus_erythrotis" 8 8
"173" "Cercopithecus_campbelli" 25 18
"174" "Cercopithecus_wolfi" 29 33
"175" "Cercopithecus_diana" 18 24
"176" "Cercopithecus_erythrogaster" 6 7
"177" "Cercopithecus_neglectus" 30 28
"178" "Cercopithecus_lhoesti" 35 17
"179" "Cercopithecus_pogonias" 21 17
"180" "Cercopithecus_preussi" 8 2
"181" "Cercopithecus_ascanius" 7 9
"182" "Cercopithecus_cephus" 41 32
"183" "Cercopithecus_mona" 30 20
"184" "Cercopithecus_mitis_stuhlmanni" 22 26
"185" "Cercopithecus_ascanius_whitesidei" NA 9
"186" "Chlorocebus_pygerythrus_nesiotes" 1 1
"187" "Cercopithecus_lulindicus" NA 1
"188" "Cercopithecus_semlikianus" NA 1
"189" "Cercopithecus_ascanius_schmidti" 27 12
"190" "Chlorocebus_aethiops" 22 20
"191" "Cercopithecus_albogularis_labiatus" NA 2
"192" "Chlorocebus_pygerythrus_hilgerti" 30 23
"193" "Cercopithecus_mitratus" NA 1
"194" "Chlorocebus_sabaeus" 35 13
"195" "Chlorocebus_aethiops_rufoviridis" 1 1
"196" "Chlorocebus_cynosuros" 6 6
"197" "Chlorocebus_pygerythrus" 21 15
"198" "Cercopithecus_mitis_opisthostictus" 2 1
"199" "Cercopithecus_albogularis" 5 6
"200" "Cercopithecus_nictitans" 10 17
"201" "Cercopithecus_nictitans_ascanius" NA 1
"202" "Cercopithecus_hamlyni" 27 19
"203" "Cercopithecus_roloway" 9 10
"204" "Cercopithecus_nictitans_martini" 9 8
"205" "Cercopithecus_petaurista_buettikoferi" 7 8
"206" "Cercopithecus_pogonias_grayi" 7 6
"207" "Cercopithecus_" 2 3
