Char.\Node,ISPM,ISNSL,ISPNS,PMZS,PMZI,PMMT,NSLNA,NSLZS,NSLZI,NABR,NAFM,NAPNS,BRPT,BRAPET,PTFM,PTAPET,PTBA,PTEAM,PTZYGO,PTTSP,FMZS,FMMT,ZSZI,ZIMT,ZIZYGO,ZITSP,MTPNS,PNSAPET,APETBA,APETTS,BAEAM,EAMZYGO,ZYGOTSP,LDAS,BRLD,OPILD,PTAS,JPAS,BAOPI
131,0.17094666,0.00332473,0.34241291,-0.10385589,0.03400403,0.12543295,-0.02196902,0.09774747,0.18012612,0.07321784,0.22917958,0.17645505,0.14613182,-0.16590609,0.00686119,0.05172173,0.12755278,0.0042723,-0.11506253,-0.14651924,0.05136717,0.01413466,0.075353,-0.03524346,0.20919966,0.06697336,0.06777963,-0.05673949,0.08908421,0.07131631,0.14655822,-0.0000091,0.10189554,0.09911555,-0.17630133,0.23718882,-0.212411,0.15013518,0.01660922
132,0.01616753,-0.10315934,0.02848971,-0.00149706,0.03361817,-0.04688655,-0.00144986,-0.05937579,-0.09188381,0.01353609,-0.07072639,-0.03284192,-0.2170675,-0.11408929,0.02376321,-0.07064278,-0.08164017,0.04290362,0.07645948,-0.01457057,0.00786638,0.06737669,-0.02581486,-0.03070808,0.16333062,-0.05630066,0.02121722,0.00449298,-0.06009137,0.02074081,-0.08727152,-0.15911099,0.02311416,-0.19136335,0.07528404,-0.09527419,0.01249134,0.00753136,-0.12201137
133,0.01347729,-0.10175464,0.03004475,0.0025136,0.05169852,-0.02643359,0.01321976,-0.07523344,-0.09002516,0.00445602,-0.06508085,-0.03642188,-0.20017469,-0.09455468,0.05661619,-0.0941455,-0.12385913,0.01982888,0.0527144,-0.07002017,0.01098121,0.07106671,-0.00408904,-0.02072383,0.16131977,-0.0579467,0.02335348,0.02238229,-0.0815711,0.01308651,-0.09631936,-0.15352674,0.05220104,-0.16761689,0.13991684,-0.06470006,-0.01165334,-0.00027284,-0.12564134
134,-0.01243385,-0.08470316,-0.00824666,-0.09744541,0.05416991,0.01766047,0.03451785,-0.11717687,-0.02482193,0.13332177,0.0809775,0.0568093,-0.16877615,-0.07387642,0.10199786,-0.14319283,-0.1574889,-0.05508959,-0.03402406,-0.14221066,0.20834816,0.03632603,0.03355518,0.01524003,0.12408039,0.04257841,0.00802361,-0.01566763,-0.002002,0.00360596,-0.04205433,0.06361242,0.16712996,-0.12586022,0.19005671,-0.06498607,-0.13086844,-0.09825662,-0.16766948
135,0.45146129,1.25317947,1.97566284,1.2899976,1.67407016,1.44473965,0.57881837,0.89532272,1.65490254,1.4993357,0.71733714,1.35714705,0.80526067,0.99159432,0.63227827,0.78608956,1.75780742,1.41600651,1.52052708,0.69732666,0.37501058,1.77014475,0.7977348,1.24291551,1.52136827,1.58750031,0.58502951,1.2129891,1.16047474,0.35200972,1.02726722,1.40007263,1.3106554,0.53566115,0.02433014,0.76561688,1.59442784,0.65473181,0.23023193
136,0.44352784,1.42509964,2.17545935,1.33223125,2.21177105,2.14959592,0.51708047,0.90913335,2.35096244,2.84788787,1.02615038,2.51428832,1.73683574,1.8773952,0.78860653,1.2413665,2.53780882,2.05947514,1.95711329,0.98155939,0.39393822,2.2655493,1.39080858,1.82918565,1.86516476,1.95551954,0.57309824,1.36984368,1.66309681,0.55500437,1.17057654,1.99109015,1.38808675,0.55170058,-1.15430091,1.16883315,2.51746816,0.72396274,0.65315801
137,0.62239526,1.93876905,2.8311703,1.89101313,2.97505953,2.00958674,0.99798152,1.21119036,3.11024356,3.50174786,1.15747889,2.85274731,2.30690663,1.95661167,1.0397719,1.88167007,3.2968446,2.96405798,3.11544231,1.68056375,0.6217925,3.01337471,1.60092929,2.84248474,2.53876605,2.82265708,0.84874889,1.859142,1.64569724,0.57517621,1.60909933,2.09654799,1.96581722,0.01571851,-0.88571764,0.91790568,3.5061739,1.28929562,0.14224728
138,0.59948398,1.98150391,2.7952777,1.8003507,2.81453169,2.01230778,0.8831109,1.20678767,2.95165535,3.23820943,1.24369112,2.89723727,2.06070997,1.57637137,1.01132729,1.79026132,3.15406339,2.84349828,3.14521841,1.72787353,0.64070007,2.93669648,1.34579329,2.88072979,2.96825411,3.01419338,0.77243045,1.91026442,1.56072464,0.51854794,1.55896185,1.94608956,1.89932005,-0.1492847,-0.72305917,0.66889747,3.469771,1.27467533,0.09473217
139,0.3803386,0.54707776,0.88192809,0.12957562,1.03621548,0.79441771,0.27489867,0.65695559,1.20220949,0.9133768,0.42186149,0.5821868,0.59606958,1.05557565,0.09761435,0.47633275,1.23367452,1.14439685,1.22319632,0.7721077,0.43332612,0.99932956,0.31588074,1.02880305,1.1440253,1.05830628,0.07270411,0.87474622,0.85213793,0.24816493,0.5148129,0.90733061,0.73541947,0.37763156,0.23612915,0.80513931,1.0511619,0.4240266,0.07261303
140,0.62378365,1.81093907,2.98200035,2.05017047,2.35001784,1.98394404,0.90006081,1.31457649,2.22153667,1.79468959,0.97473812,1.56785309,0.82121175,0.65508716,0.81878903,1.16070485,2.59126981,1.97460655,2.11256696,0.85251268,0.60623574,2.54601625,1.05845488,1.60069253,2.18590102,2.36946903,1.01255398,1.99384329,1.53234388,0.54684163,1.46981548,2.07732008,2.01494762,0.66675757,0.37606075,0.52853742,2.24221258,0.81289492,0.24418561
141,0.14905218,0.79611571,1.04082507,0.35492205,0.52437333,0.8236615,-0.22604713,0.26830161,0.50314373,0.16188501,0.29127025,0.71833372,-0.00237777,0.30731736,-0.03952713,0.57339362,0.83303935,0.53265839,0.72943676,0.44534408,-0.06971862,0.75485295,0.38088775,0.77088666,0.59928335,0.4421484,-0.04201171,-0.30421502,0.34896404,0.38927928,0.6767905,0.42148757,0.62004765,0.04541965,0.54480649,-0.05405832,0.73396559,0.36109946,0.55431483
142,0.14305566,0.84046152,1.01937251,0.35616197,0.54442748,0.79981578,-0.26449212,0.2378508,0.50991418,0.17810879,0.27279072,0.74242342,0.02963469,0.30467011,0.03535702,0.45944308,0.7006588,0.46104703,0.63111641,0.30424329,-0.08478725,0.74677708,0.4269671,0.79345711,0.52752985,0.41911685,-0.08209128,-0.30802593,0.30768801,0.42023191,0.6938168,0.42815662,0.61325827,-0.00097606,0.44606973,-0.0580951,0.71935879,0.36244516,0.56890856
143,1.30549481,3.52766336,6.21754666,4.6170677,5.05331897,3.91702903,2.34569157,2.87642888,4.69797553,3.83753508,2.00309386,2.71203289,1.66506619,0.44253535,1.79435089,2.35345913,5.60350973,4.24434681,4.32805909,1.50882342,1.60345778,5.36980699,2.11972389,2.98107353,4.68681136,5.34213812,2.57424496,5.31009902,3.19963137,1.04370677,2.83026477,4.69106787,4.33949315,1.36129162,0.64556432,0.61057054,4.7364978,1.42226813,0.05532288
144,1.54876375,4.49734397,7.49157635,5.95096275,6.59978259,4.80666258,3.05801714,3.25411467,5.91901568,4.38356305,2.36541442,3.01397848,1.95887523,0.316688,2.45225027,2.1907652,6.40563536,4.89107003,4.53131136,0.92727954,1.72219624,6.03164351,3.05808077,3.34582412,5.04748025,5.97177925,3.08549168,6.7016461,4.11597274,0.99745672,3.08127719,5.66415605,4.89845428,1.47663201,0.99277164,0.25080153,5.70671303,1.64302307,0.2495963
145,1.56366164,4.5243904,7.46029392,5.92061002,6.63845335,4.84735718,2.85400511,3.24524107,5.94997288,4.54005212,2.46692987,2.92493336,1.99644157,0.34621655,2.63051351,2.00764622,6.37517042,4.82070004,4.33776977,0.4888945,1.66801649,5.86017397,3.06538589,3.34515423,5.01139121,5.81661434,3.07923147,6.75549676,4.32813882,0.93259575,3.09999391,5.81547771,4.92782373,1.47350844,1.13377719,0.07341593,5.71619298,1.63004888,0.34957407
146,0.4217656,1.2199479,1.85711013,1.19580922,1.43407342,1.18656178,0.5194469,0.83764226,1.47457518,1.16182813,0.63274316,1.19016157,0.60608571,0.86397481,0.62140117,0.63956537,1.54530247,1.19108218,1.30504494,0.6721284,0.26988584,1.55052,0.58285979,1.05643914,1.29967223,1.37223484,0.5539871,1.00102981,1.08989222,0.25714472,1.00460055,1.2311627,1.22176889,0.46584419,0.10013416,0.66465603,1.27235999,0.54788635,0.09129332
147,0.32690184,1.07584693,1.43210252,0.97833446,1.18600585,0.82079455,0.64296668,0.831037,1.33863959,0.71531407,0.49115227,1.01441646,0.40336127,0.75409625,0.52472208,0.48169483,1.47256208,1.05036862,1.31038079,0.70078857,0.09658252,1.11965851,0.41804276,0.86282627,1.25867919,1.20105416,0.45654775,0.76258422,1.19961358,0.19925309,1.00752005,0.7866624,1.22519793,0.26586815,-0.00263755,0.49583773,1.03152995,0.45908834,-0.09532529
148,0.37918017,1.02118757,1.27051508,1.10385484,1.08926888,0.55785612,0.78722291,1.05737162,1.42660471,1.12414542,0.50992921,1.0383206,0.57236493,0.66609414,0.46770412,0.41825437,1.39218643,1.18614856,1.14848591,0.59639006,0.04577165,1.18977172,0.27744355,1.05102775,1.29994773,1.3151623,0.42305946,0.89579721,1.06113588,0.14195677,0.71979324,0.85710166,1.10866038,0.14692094,0.15797572,0.33161741,1.15845487,0.6082111,-0.01457754
149,0.319952,0.91434832,1.03498188,1.0782574,0.9408116,0.65414984,0.42205543,1.07862159,1.22645317,1.19011148,0.53099466,0.76545036,0.46759978,0.38963594,0.55125629,0.08031667,0.81909884,0.86277192,0.70952974,0.44160956,0.1479103,1.02268645,0.06703891,0.78119661,1.03715595,1.08930636,0.28792968,0.91961604,0.78385788,0.23498424,0.51654538,0.74263421,0.80976668,-0.09191841,0.22229838,0.07379155,0.95484987,0.54431176,-0.02811759
