"Species","cor_iso_1","cor_iso_2","cor_iso_3","cor_iso_4","cor_iso_5","cor_iso_6","cor_iso_7","cor_iso_8","cor_modules_1","cor_modules_2","cor_modules_3","cor_modules_4","cor_modules_5","cor_modules_6","cor_modules_7","cor_modules_8"
"Alouatta_belzebul",0.897293330818775,0.0299516067370648,0.0379572828775797,0.0397625956503548,0.0278704428344874,0.0256908223697954,0.0651650307488543,0.0896213488711091,0.0959581148665799,0.384145483765174,0.0749290676402745,0.349726599144398,0.127266499160239,0.180475759059493,0.265204585005619,0.2102597481719
"Alouatta_caraya",0.881390164661259,0.00146231119374925,0.0856786147008204,0.00791192849868831,0.119521581489169,0.02312294980749,0.0702054487704856,0.0227914912084589,0.0723277153936206,0.261012577826469,0.0737411002597152,0.0364126685952949,0.164840947111251,0.00186541089199775,0.114186970895741,0.230911364363818
"Alouatta_palliata",0.878427268755466,0.13653978684871,0.0220087461043686,0.0281620252088068,0.0180225252808517,0.0307547078530309,0.1828866137,0.0110493012417162,0.142836753599723,0.0579857253635598,0.237088780198445,0.100912506006564,0.225987641864297,0.36410896584751,0.288257872636509,0.0733168273271137
"Alouatta_seniculus",0.882525397296342,0.0984483250052867,0.0345576460754123,0.0923996626256664,0.0455824061818,0.121566685121154,0.0549324528732025,0.105155524846561,0.155417239986302,0.284807063624754,0.341620951066304,0.0584998947645737,0.00105698073942397,0.371415973162714,0.1390438278066,0.12266871216306
"Ateles_geoffroyi",0.745897604090475,0.34401867523499,0.170210024771309,0.201548803092588,0.276976898387525,0.20961432094785,0.00193833079853425,0.031084254334524,0.0659330399377047,0.0564674445927172,0.114055921321992,0.540960681490987,0.198132838211011,0.128358000768217,0.0573315141968569,0.180598507342315
"Ateles_marginatus",0.456859831720575,0.773754622123479,0.182063491213232,0.0644568879842034,0.0296591490915636,0.0858197897400296,0.083846566247635,0.0225390805405141,0.0927655103682778,0.0302767679749065,0.0953870941930786,0.124291251611803,0.437507185017726,0.506786972528246,0.0844442147156242,0.0519815207551846
"Ateles_paniscus",0.753330646185283,0.166239528591613,0.415321039228093,0.0222602375885157,0.288412970263521,0.0352311963997243,0.0407732783757042,0.000323607161613135,0.059575994072248,0.122699791319386,0.150584510628427,0.318629692007427,0.0505757425197502,0.282668092109782,0.432841550843665,0.0425303532872892
"Brachyteles_arachnoides",0.623220708406196,0.392332297373143,0.488491936321585,0.16763230280962,0.016995176935485,0.070833580867279,0.0278976502551872,0.104904272277775,0.10890049301438,0.203931654372178,0.0743739474528877,0.241896136573957,0.180600690786837,0.454768095901146,0.178596973645345,0.266970294507166
"Callicebus_personatus",0.790477933415088,0.298175093064697,0.129663832320763,0.052121901832965,0.0915962129170991,0.0233668726451924,0.0645132749201808,0.00623089788671644,0.0561529484014967,0.0152227002163006,0.44690444329513,0.0727770836612296,0.0914708385643188,0.179537508534978,0.0758367238179441,0.052332240669608
"Callithrix_geoffroyi",0.761116612834165,0.0380713671005703,0.379724973190357,0.156925992181157,0.184044808646837,0.163427951032461,0.0911267923293182,0.0696473243956913,0.0793312236056877,0.0342398322017011,0.197775615768268,0.10802319807574,0.152535925505787,0.0673022802168921,0.0387047237859513,0.27227302770546
"Callithrix_jacchus",0.193737278869785,0.45769583707959,0.408420214976378,0.556873512232981,0.241499634476881,0.0335813743076107,0.0935858941751238,0.0656601508870824,0.0788959210201119,0.063655286296519,0.37936432650868,0.073897059987756,0.125862203756357,0.107678523583711,0.241107835141063,0.00769731050535611
"Callithrix_kuhlii",0.761399057661731,0.413430730031102,0.159704538884396,0.0245479835373259,0.100893121263277,0.0702200530305128,0.166353371581721,0.0519349493261202,0.0465666518827918,0.114433383082699,0.141535578587256,0.126893211450507,0.0104262925147053,0.391077298022837,0.29597788453498,0.168886273369237
