"","Species","ISPM","ISNSL","ISPNS","PMZS","PMZI","PMMT","NSLNA","NSLZS","NSLZI","NABR","NAFM","NAPNS","BRPT","BRAPET","PTFM","PTAPET","PTBA","PTEAM","PTZYGO","PTTSP","FMZS","FMMT","ZSZI","ZIMT","ZIZYGO","ZITSP","MTPNS","PNSAPET","APETBA","APETTS","BAEAM","EAMZYGO","ZYGOTSP","LDAS","BRLD","OPILD","PTAS","JPAS","BAOPI"
"1","Cercocebus_agilis",14.3873793611724,27.6586186272653,48.5888748084755,30.6665682810665,33.092653944168,38.3868753664758,23.6701041643048,19.2875445914244,39.3277392230858,52.4234727484735,29.0855713754124,35.0242863460757,43.6858844063913,50.8531568942049,18.0942914860095,30.1030038730168,44.1922840674668,31.2416177650017,25.483997051254,3.61906874062426,17.2041195186887,35.7986856061938,23.9633396805131,17.9769976971225,21.1945760011193,30.6919405020607,18.244874117387,16.6562965084156,17.1873535423593,13.539150578849,30.520526707578,24.2640991905514,24.1382676724866,33.0346743703715,35.1098343949898,35.0299847677038,46.8096970085185,24.437419700518,16.1260752775325
"2","Cercocebus_torquatus",15.1543647132599,28.6400890468556,53.1330227925058,32.2363626892513,35.6493088898295,40.758871099635,24.5450141541762,21.9042011881433,40.8133770116521,53.837877156368,29.9634118384233,36.4880467063301,41.5454789468505,51.0463304825101,20.813958476216,32.2686094084898,46.2067084881364,31.5987269359617,27.2790016237286,6.66980420720224,17.0304692242853,36.3657753754491,22.8137272123924,18.2992432228725,21.8895146118536,30.316709968556,19.3828500902588,16.7194978650519,18.3972998596502,14.702981021876,32.6321506052263,26.4760356467028,25.0411589081069,33.1040498951276,36.2527797749692,35.2808374572141,46.3299841658766,24.7960028364115,16.001380897961
"3","Cercopithecus_ascanius",10.2608607591991,19.7140190630256,32.8683190405323,19.4049577511206,23.6130408174946,28.2164923231312,14.060390440543,17.191819575459,30.5483057507794,41.8061462192776,24.4613014959787,27.5389971431626,34.9348634370185,41.5014283416595,14.5440338332792,25.0575647515894,37.790948830786,23.8964163995826,20.5474875895522,4.10693210594808,13.4023486903781,27.7295328994727,15.7873546566986,12.4583914239364,17.750870589336,22.4600067951202,13.587918000473,13.5478791731668,16.7284533088379,11.5915127675745,26.1417583209993,16.7453928898353,18.3299353743094,29.4537835045523,32.4862846082764,29.6116634261546,37.857913321496,20.5386824405602,13.1034781240632
"4","Cercopithecus_campbelli",10.0854922771451,21.5039716820236,35.486174141084,20.513045411617,23.416332432924,28.904038830771,15.1783123457157,16.6031027035894,28.1637437577514,41.9650283502989,24.4409661376752,28.8036017905405,35.2676389034782,42.0326085608216,14.6353454081143,25.6369235596909,37.1617972688731,22.7416939398508,19.8141438086457,3.34765582737074,14.1819748892167,27.8738545874075,13.6976722764551,12.7248202446161,19.2525494189926,23.7312788246465,13.4984443420596,12.0737339799094,15.9233882309009,12.0425272220612,25.6243036546352,16.307597921578,17.7807133291826,26.9336852022494,31.5068269599737,26.70655750493,37.1639646393017,20.5279844578684,12.8648029258441
"5","Cercopithecus_cephus",10.7769207441891,20.5096183768647,33.3315284647176,19.5618375294764,23.5150032377733,28.8071508301114,13.9093987038682,17.5723212820563,30.892669625228,43.7707386448368,24.6939325341473,27.80538962177,35.8829511883316,42.3889848576144,15.1638071059751,26.220783813528,38.2079938601984,24.1946863734223,20.8736858779727,4.68062912561531,13.5611826908165,28.5392750721311,15.446986331143,12.906319614043,17.8568689337919,22.9638398858122,14.2217121388869,14.0838785995459,16.2041151978325,11.9435966708611,26.2901262518136,17.8133362794,18.0727925646456,28.5797537886607,32.1369348794727,28.0645320217118,37.681574963636,19.9758688005374,13.8949915697695
"6","Cercopithecus_diana",11.363445317448,24.1784772264974,40.4764866271641,24.1322504351503,28.495400444296,32.7987079697997,15.6230641854716,17.6642525242109,32.3143472341244,45.2856653355321,26.061006803735,28.8774984964274,37.2564283204769,43.0064515237594,15.585131560085,26.6746072265918,40.2135683855318,25.1382513281853,21.6454726921077,4.25592203079147,15.5147545259556,29.0286407825992,16.5690928613372,12.9065445927825,19.6856976855196,24.4381722616062,15.1376287274357,15.4709390029145,17.2190344478755,12.6791377760862,27.663167633897,18.1323106345716,19.045390788116,29.627547300125,32.9397854322352,29.4887202033963,38.8702071568009,20.8998239661589,12.7904943208548
"7","Cercopithecus_hamlyni",9.80736998240987,22.7204420158812,35.765889568951,24.1587585133651,27.9407621603059,31.3740054268978,19.842129946814,17.0426940394267,31.7335309685205,42.4845455823449,26.4336349439905,28.864017380212,34.5447843287879,42.4709896921839,15.6445047299464,27.59603206592,38.439056693999,23.1151755561938,22.9287907127777,3.38620834761044,17.2944181369179,30.0693947248576,16.4468885514771,13.4153049970862,18.5994066550079,25.7697022103314,14.3905854640146,14.8085665123026,15.6572476247647,13.919738225605,27.8440059627479,17.1131123606375,20.2759987367902,27.8477778375916,30.8162151944436,29.3838273099088,37.8138916954203,21.3949620785267,13.7392343215355
"8","Cercopithecus_lhoesti",10.6350138319197,22.8993565688175,38.0953871525019,24.7764436675218,27.6934203813164,32.880553817994,17.7627701012602,19.766002015002,33.1123777522318,44.2727251910253,26.3615816488987,29.6198983311768,35.7939791242273,44.052059349766,18.0701400500432,27.715898601378,39.8813745544315,24.7082590837507,23.1073528481531,5.57118049274262,13.5016305245049,29.3905776521519,16.5504016727868,13.4508997092272,20.6994729467175,24.1531687439829,15.3599120772235,14.7976298436313,17.4422117340625,12.0617146657809,27.8570944128997,18.6050099504853,21.9920047421449,30.866330192592,30.1005717742297,33.4671199120473,38.1460540230087,22.1951458406995,13.3539127556871
"9","Cercopithecus_mitis",10.8536933736686,24.2979078542772,40.4675749646428,25.2968386683244,28.3636270019643,33.0909456262858,18.7621908615475,17.3772961465755,33.2629454681663,43.8355882498689,26.2547893250052,31.36823850095,35.575479719785,44.0150234769622,16.7585031188634,26.8774444507112,40.855907282578,26.1713539801654,22.8871242834541,3.86000409705654,16.7749390175056,31.0869502133585,18.1637402653613,13.7807514935649,21.4433245469642,25.1393248629446,15.4974833444495,14.6781418607964,19.5852866950273,12.5328932323128,28.2609099771401,20.2913375989296,21.9083623301471,29.6196203022028,34.1124501794749,29.2360278901021,40.2497986607004,20.0054187164712,13.8829585798878
"10","Cercopithecus_mona",10.457863233731,21.3829608865687,35.0861219965287,20.3085810847393,24.1705565085366,29.4614403792153,13.4228104801768,16.7972945822337,29.6708361056871,44.0014017178095,24.7582665098118,27.2860970996755,35.8771703733589,42.2256992954476,14.6120790445463,26.3100027296777,37.9645903767087,23.9051058716837,21.3110334661234,3.79320159775254,14.5910717826455,28.358027145119,14.5162505176531,13.0266698502571,19.2276940494634,23.0192781153904,14.2501317805503,13.6702449906824,16.0104513375506,11.6021288019113,26.0465618588461,16.9957908570334,19.2505209531111,27.7820110879557,31.7322386270364,27.3493023413002,37.9961989792294,19.6142834856929,12.9749031305822
