"Species","cor_iso_1","cor_iso_2","cor_iso_3","cor_iso_4","cor_iso_5","cor_iso_6","cor_iso_7","cor_iso_8","cor_modules_1","cor_modules_2","cor_modules_3","cor_modules_4","cor_modules_5","cor_modules_6","cor_modules_7","cor_modules_8"
"Allenopithecus",0.842384466358047,0.0558596998140671,0.0406570414421373,0.253725530766104,0.109798051445845,0.0436517348699823,0.0934066656188103,0.0615589698196384,0.254752190762214,0.157276471205184,0.21497873485318,0.44915209490199,0.389629838838232,0.126352159572813,0.154087872962165,0.00434908817180977
"Alouatta",0.895461380534539,0.00118152466690104,0.0795368783703344,0.0371513001478989,0.0271989130875398,0.0772588100156432,0.0275281570121977,0.00499769072750265,0.11643012641709,0.340985230969068,0.187257581642165,0.0255884137670895,0.356133708202907,0.00745851174932843,0.270355884045418,0.0225353447535566
"Aotus",0.755368662323264,0.163677285272934,0.317441127221111,0.118032851051046,0.0098209152830243,0.165853428522922,0.13989107489053,0.120911045816219,0.115727796400572,0.0897251836351597,0.0898902398620827,0.346318949398817,0.344101692080724,0.00324366393461224,0.194802506947186,0.193550082103762
"Ateles",0.778199655962699,0.342444198519009,0.254518999048956,0.252336720529375,0.0885140217004809,0.0123665605590874,0.0344580348155907,0.116267439723423,0.0890860607726759,0.0233429756923302,0.0971093016162506,0.316989638428016,0.500751921706889,0.0632683181759558,0.226267555184534,0.208383839450485
"Brachyteles",0.623231789321853,0.392297813135746,0.488473218700552,0.167683569709036,0.0170408199581087,0.0708620953578664,0.0278659056534866,0.104943893677598,0.108894896726147,0.203926104059255,0.0743425417422272,0.24193870788002,0.180594988048875,0.454700086651602,0.178694401215694,0.266765503533758
"Cacajao",0.838916829679391,0.113289778549685,0.184953557061375,0.0581204982111617,0.0485422338644862,0.200052706738903,0.0844767535508615,0.0280813830637121,0.0397788553420526,0.481410190184176,0.222580624037738,0.0847305797844732,0.254560207329553,0.300351839883472,0.0360825573523643,0.0952445750225639
"Callicebus",0.81601459177501,0.317170706923345,0.0312424469867616,0.122986157039936,0.113924016044715,0.0953642905322613,0.119901424325676,0.0389562931615846,0.0738329195230292,0.328194845404808,0.381453516364265,0.0894523250663332,0.0914840387887017,0.187327108814662,0.292274163734937,0.113747943384031
"Callimico",0.855381638124438,0.0767494551926048,0.0306838859322858,0.139997779454848,0.226740995186311,0.0732759218202911,0.0949346581600129,0.0170309359980529,0.156263512887926,0.16319019462295,0.262844803113065,0.524934724259345,0.0661846477229386,0.00645183201552398,0.108496237383385,0.0670256350321059
"Callithrix",0.836549950463421,0.145277502080512,0.310293471475401,0.0166571503943694,0.10326754198181,0.0613825373553055,0.00888092827415595,0.114455390538953,0.0920710322632197,0.10590780932759,0.211451948146148,0.176723416288176,0.525100349311637,0.000327513443442199,0.0635594727265787,0.00876019259396497
"Cebuella",0.741194936305435,0.436360474279044,0.103789358684463,0.0532693619398834,0.0363341655607198,0.000825865244615809,0.0931278632037892,0.137165719318547,0.105796312415296,0.26834305777408,0.463983294374857,0.227035201274854,0.0330229443843207,0.0824823649131908,0.101542791693893,0.15443560315901
"Cebus",0.795518827955603,0.116606303307761,0.420413560595579,0.149531138547503,0.10229293338913,0.0789363544621842,0.115298903994567,0.0263011014668131,0.0729408824858524,0.0219240935667554,0.254923811205751,0.260385530697369,0.31818681505766,0.45644164293316,0.0406264101551293,0.0137748097904134
"Cercocebus",0.845202165166506,0.115509474175069,0.125089699307734,0.154098416964284,0.0594782139642796,0.0378854674568914,0.00416978362852456,0.0896561404633919,0.2280599720109,0.377975892684524,0.128897464179591,0.156077421322701,0.0472218416511489,0.223485359683661,0.141320581422067,0.284260058022361
