PARVORDER;GENUS;SPECIES;SOCIAL_ORGANIZATION;MATING_SYSTEM;PROP_MALES_FEMALES;DOMINANCE;AGGRESSION;ALL_MALE_GROUPS;FURTIVE_COPULATION;INFANTICIDE;MULTILEVEL_SOCIETY;N_PAPERS;OBS;NUMBER_MALES;NUMBER_FEMALES
Catarrhini;Erythrocebus;NA;UNIMALE/MMMF;POLYGYNY;0.075187969924812;MALE;MALE;YES;YES;YES;NA;16;NA;NA;NA
Catarrhini;Gorilla;NA;UNIMALE/MMMF;POLYGYNY;0.4;MALE_FEMALE;MALE;YES;YES;YES;NA;64;NA;2,8;7
Catarrhini;Hylobates;NA;UNIMUNIF;MONOGAMY;0.95;NOT_APPLY;NO_OBSERVED;NA;NA;NA;NA;55;NA;2,3;2,4
Platyrrhini;Lagothrix;NA;MMMF;POLYGYNANDROUS;0.38;MALE_FEMALE;NO_OBSERVED;NA;NA;NA;NA;7;NA;1,95;5,1
Platyrrhini;Leontopithecus;NA;MMMF/UNIMUNIF;MONOGAMY;0.94;NOT_APPLY;NO_OBSERVED;NA;NA;NA;NA;19;NA;1,6;1,7
Catarrhini;Lophocebus;NA;MMMF;POLYGYNANDROUS;0.61;MALE_FEMALE;MALE;NA;YES;YES;NA;15;BOTH UNIMALE AND MMMF GROUPS STUDIED. SOLITARY MALES. ADW INFOS ON MATING SYSTEM;7;11,3
Catarrhini;Macaca;NA;MMMF;POLYGYNY/POLYGYNANDROUS;0.47;MALE_FEMALE;MALE;YES;YES;YES;NA;176;NA;8,3;17,3
Catarrhini;Mandrillus;NA;UNIMALE/MMMF;POLYGYNY;0.46;MALE_FEMALE;MALE;YES;YES;NA;NA;26;NA;9,2;19,7
Catarrhini;Miopithecus;NA;UNIMALE/MMMF;POLYGYNANDROUS;0.333333333333333;NA;NA;NA;NA;NA;NA;0;ONLY BOOKS. ADW INFOS ON MATING SYSTEM AND PROP M:F;10;30
Catarrhini;Nasalis;NA;UNIMALE;POLYGYNY;0.133333333333333;MALE_FEMALE;NA;YES;YES;YES;NA;12;SINGLE EVIDENCE OF AGGRESSION. SOLITARY MALES ARE RARE;1;7,5
Catarrhini;Nomascus;NA;UNIMUNIF;MONOGAMY;1;NOT_APPLY;NO_OBSERVED;NA;NA;NA;NA;7;NA;1;1
Catarrhini;Pan;NA;MMMF;POLYGYNANDROUS;0.49;MALE_FEMALE;MALE/CROSS;NA;YES;YES;YES;17;NA;9,1;18,5
Catarrhini;Papio;NA;UNIMALE/MMMF;POLYGYNY/POLYGYNANDROUS;0.64;MALE_FEMALE;MALE;YES;YES;YES;YES;44;NA;15,1;23,5
Catarrhini;Piliocolobus;NA;UNIMALE/MMMF;POLYGYNANDROUS;0.5;NA;NA;NA;NA;NA;NA;2;RATIO OF FEMALES BY MALES IS 3.31. EVIDENCES OF UNIMALE GROUPS. ADW INFOS ON MATING SYSTEM AND PROP MALES:FEMALES;4;8
Platyrrhini;Pithecia;NA;MMMF/UNIMUNIF;MONOGAMY;0.93;MALE;MALE/CROSS;NA;NA;NA;NA;11;NA;1,5;1,6
Catarrhini;Pongo;NA;UNIMALE/MMMF;POLYGYNY;0.72;MALE;MALE/CROSS;NA;NA;NA;NA;13;NA;NA;NA
Catarrhini;Presbytis;NA;UNIMALE;POLYGYNY;0.2;MALE;MALE;YES;NA;YES;NA;26;NA;1;5
Catarrhini;Procolobus;NA;UNIMALE/MMMF;POLYGYNY;0.4;MALE;MALE;NA;YES;YES;NA;2;SINGLE GROUP CAN HAVE UNIMALE AND MMMF (M: 1 TO 3, F:1 TO 4). SOLITARY MALES. RANK IS CORRELATED WITH MATING SUCESS;2;5
Catarrhini;Pygathrix;NA;UNIMALE/MMMF/UNIMUNIF;POLYGYNY;0.333333333333333;NA;NA;YES;NA;NA;YES;3;FISSION-FUSION. FORM OMU. SOLITARY MALES. FORM MULTILEVEL SOCIETY;1;3
Catarrhini;Rhinopithecus;NA;UNIMALE;POLYGYNY;0.261;MALE_FEMALE;MALE;YES;YES;NA;YES;18;NA;NA;NA
Platyrrhini;Saguinus;NA;MMMF/UNIMUNIF;MONOGAMY/POLYANDROUS;1.53;FEMALE;NO_OBSERVED;NA;NA;NA;NA;12;NA;2;1,3
Platyrrhini;Saimiri;NA;MMMF;POLYGYNANDROUS;0.50;MALE;NO_OBSERVED;NA;NA;NA;NA;5;NA;5,3;10,5
Catarrhini;Semnopithecus;NA;UNIMALE/MMMF;POLYGYNY/POLYGYNANDROUS;0.31;MALE_FEMALE;MALE;YES;YES;YES;NA;14;NA;8;25,5
Catarrhini;Simias;NA;UNIMALE;POLYGYNY;0.294117647058824;MALE;NA;YES;NA;NA;NA;5;POLYGYNY. MMMF AND UNIMUNIF ARE PROBABLY WRONG CLASSIFICATIONS;1;3,4
Catarrhini;Symphalangus;NA;UNIMALE/MMMF/UNIMUNIF;MONOGAMY/POLYGYNY;1;MALE;MALE;NA;YES;NA;NA;5;BOTH UNIMALE AND MMMF GROUPS STUDIED. MONOGAMOUS OR POLYANDROUS. RANK IS CORRELATED WITH MATING SUCESS. SOLITARY MALES. THAINATIONALPARK HAS INFORMATIONS OF PROP M:F;1;1
Catarrhini;Theropithecus;NA;UNIMALE;POLYGYNY;0.133333333333333;MALE;MALE/CROSS;YES;YES;YES;YES;9;FORM OMU. MULTILEVEL SOCIETY WITH FISSION-FUSION.;1,2;9
Catarrhini;Trachypithecus;NA;UNIMALE/MMMF;POLYGYNY;0.22;MALE;MALE;YES;NA;NA;NA;32;NA;1,12;4,9
