"","formula","AICc","R2","lambda","deltaAICc","weight"
"1","normas ~ size + cvn",8.66435685067324,0.837596173576684,0.999926686256414,0,0.387255518965072
"2","normas ~ size + nmds2 + cvn",11.5476162613999,0.832151853168728,0.999926686256414,2.88325941072666,0.0916021758773258
"3","normas ~ size + cvn + integration",11.8711771436583,0.828722981342095,0.999926686256414,3.20682029298501,0.0779193708027311
"4","normas ~ size + nmds1 + cvn",12.2371326067703,0.824760351990021,0.999926686256414,3.5727757560971,0.0648902157076279
"5","normas ~ size + clima + cvn",12.2775929443288,0.824316650259402,0.999926686256414,3.61323609365558,0.0635906650768823
"6","normas ~ cvn",12.7406397516279,0.764183634315453,0.76112896124942,4.07628290095466,0.0504480089595926
"7","normas ~ nmds2 + cvn",13.5581810793811,0.779488465657041,0.867382121271999,4.8938242287079,0.0335210170428238
"8","normas ~ nmds1 + cvn",13.6742099125928,0.77788354741321,0.144114332242524,5.00985306191957,0.0316316499461724
"9","normas ~ size + integration",13.7791532944299,0.776421905997393,0.885630118031997,5.11479644375663,0.0300146774094714
"10","normas ~ size + nmds1 + integration",15.1303068597079,0.790027232206383,0.999926686256414,6.46595000903467,0.0152733537691586
"11","normas ~ nmds1 + nmds2 + cvn",15.1842809638958,0.789317717895147,7.33137435857406e-05,6.51992411322251,0.0148666830781586
"12","normas ~ size + nmds2 + cvn + integration",15.6852561263368,0.819461097915997,0.999926686256414,7.02089927566354,0.0115725404937008
"13","normas ~ size + nmds2 + clima + cvn",15.7036899432537,0.819252976732688,0.999926686256414,7.03933309258046,0.0114663674923832
"14","normas ~ size + nmds1 + nmds2 + cvn",15.7936126514002,0.818234287948525,0.999926686256414,7.12925580072692,0.0109622420863102
"15","normas ~ cvn + integration",15.8023859847719,0.746284690405873,0.723339550414359,7.1380291340987,0.010914259702453
"16","normas ~ clima + cvn",15.806899166318,0.746213113858086,0.749357897905857,7.14254231564473,0.0108896584526303
"17","normas ~ size + clima + cvn + integration",15.9876816697805,0.816016169684503,0.999926686256414,7.32332481910727,0.00994850532533167
"18","normas ~ size + nmds1 + cvn + integration",16.2254643155164,0.813261491051321,0.999926686256414,7.56110746484312,0.00883332056153455
"19","normas ~ size + nmds1 + clima + cvn",16.566446898362,0.809239120902715,0.999926686256414,7.90209004768877,0.00744870138929679
"20","normas ~ size + clima + integration",16.7390653150462,0.767817140526844,0.887656564546816,8.07470846437291,0.00683277234801712
"21","normas ~ nmds2 + clima + cvn",16.8271342895292,0.766535610146212,0.796185683317023,8.16277743885597,0.00653842304288436
"22","normas ~ nmds1 + cvn + integration",17.1309315135148,0.762060393802282,0.422630174113873,8.46657466284153,0.00561699823575397
"23","normas ~ nmds2 + cvn + integration",17.1790866109068,0.761343189754589,0.925726889800313,8.51472976023353,0.00548336986463093
"24","normas ~ nmds1 + clima + cvn",17.2324115063817,0.760546465987906,0.173855942818345,8.56805465570845,0.00533910162086788
"25","normas ~ size + nmds2 + integration",17.3988804615367,0.758042111815005,0.870260354377944,8.73452361086344,0.00491269624971504
"26","normas ~ size",18.6835802643912,0.658110641117687,0.970658173310904,10.019223413718,0.00258434741140568
"27","normas ~ size + nmds1 + clima + integration",18.7726496960554,0.781035771417431,0.999926686256414,10.1082928453821,0.00247177942980556
"28","normas ~ nmds1 + nmds2 + clima + cvn",18.9441417056525,0.778676235483122,0.161364413506339,10.2797848549793,0.00226866670292072
"29","normas ~ nmds1 + nmds2 + cvn + integration",19.0959252195986,0.776566663941868,0.574226457668729,10.4315683689254,0.00210286467566756
