"","formula","AICc","R2","deltaAICc","weight"
"819","normas ~ size + nmds1 + social + prop + dominance + integration",31.0367753865666,0.433126347142332,37.8497648419347,2.16755221129616e-09
"820","normas ~ size + nmds1 + prop + mating + dominance + integration",31.0943352147728,0.430400719584899,37.9073246701408,2.10605936860649e-09
"821","normas ~ nmds1 + nmds2 + social + prop + dominance + integration",31.2070651846855,0.425024597891728,38.0200546400535,1.99063487113818e-09
"822","normas ~ size + nmds1 + social + prop + mating + integration",31.2622303597956,0.422375294776066,38.0752198151636,1.9364783327232e-09
"823","normas ~ size + nmds2 + clima + cvn + prop + dominance",31.2998130475316,0.420563401520913,38.1128025028996,1.90042907031036e-09
"824","normas ~ size + nmds1 + social + mating + dominance + integration",31.4611333979432,0.4127212307952,38.2741228533113,1.75315936548194e-09
"825","normas ~ size + nmds2 + cvn + social + prop + dominance",31.5125934238297,0.410197374703325,38.3255828791977,1.70862593208397e-09
"826","normas ~ size + social + prop + mating + dominance + integration",31.7099924963399,0.400414927446029,38.5229819517079,1.54804053891217e-09
"827","normas ~ nmds2 + clima + cvn + social + prop + dominance",31.7270191456211,0.399563579876958,38.5400086009891,1.53491750682325e-09
"828","normas ~ size + clima + cvn + social + prop + dominance",31.7333435213426,0.399247047679952,38.5463329767106,1.53007147538496e-09
"829","normas ~ size + nmds1 + clima + cvn + social + mating",32.7498013619284,0.346143041893163,39.5627908172964,9.20429868181692e-10
"830","normas ~ nmds1 + social + prop + mating + dominance + integration",32.8938679008404,0.33824582246106,39.7068573562084,8.56459935340371e-10
"831","normas ~ nmds1 + clima + social + prop + mating + dominance",33.3701991620435,0.311449663610968,40.1831886174116,6.74952223847748e-10
"832","normas ~ size + nmds1 + clima + prop + mating + dominance",33.3835258003783,0.310684567073706,40.1965152557463,6.70469752411503e-10
"833","normas ~ size + clima + social + prop + mating + dominance",33.5297642400805,0.302232805037204,40.3427536954485,6.23194936712332e-10
"834","normas ~ size + nmds1 + nmds2 + clima + prop + dominance",33.68134957421,0.293362625659486,40.494339029578,5.7770693244868e-10
"835","normas ~ size + nmds2 + clima + cvn + social + prop",33.6866025616886,0.293053228171937,40.4995920170566,5.76191579710836e-10
"836","normas ~ nmds1 + nmds2 + clima + social + prop + dominance",34.1138352733484,0.267430584446459,40.9268247287165,4.65365841992883e-10
"837","normas ~ size + nmds1 + nmds2 + clima + cvn + prop",34.2214602719755,0.260830800920307,41.0344497273435,4.40985217252996e-10
"838","normas ~ size + nmds1 + social + prop + mating + dominance",34.3478219114483,0.253006123105825,41.1608113668163,4.13985328246963e-10
"839","normas ~ nmds1 + clima + cvn + social + prop + mating",34.4033712225454,0.249540190934391,41.2163606779134,4.02645240862255e-10
"840","normas ~ size + nmds1 + clima + social + prop + dominance",34.8628017410057,0.220251077240297,41.6757911963738,3.20006279616127e-10
"841","normas ~ size + clima + cvn + social + mating + dominance",34.9247826201017,0.216213197937064,41.7377720754697,3.10241237351058e-10
"842","normas ~ size + nmds2 + clima + cvn + social + dominance",35.1046071942269,0.204379408474078,41.9175966495949,2.83564012914001e-10
"843","normas ~ size + nmds2 + clima + social + prop + dominance",35.3907428430861,0.185180133748902,42.2037322984541,2.45763592644766e-10
"844","normas ~ size + nmds1 + clima + cvn + mating + dominance",35.8409427540917,0.154030146291214,42.6539322094597,1.96226599798682e-10
"845","normas ~ size + nmds1 + nmds2 + social + prop + mating + integration",36.1253372227227,0.826878530822537,42.9383266780907,1.70216793169553e-10
"846","normas ~ size + nmds1 + nmds2 + cvn + social + prop + mating",36.3776023438596,0.823200632003117,43.1905917992276,1.50045760560445e-10
"847","normas ~ size + nmds1 + nmds2 + clima + social + prop + mating",36.4946960442389,0.821467013246854,43.3076854996069,1.41513266346151e-10
"848","normas ~ size + nmds1 + nmds2 + social + prop + mating + dominance",36.5307852426714,0.820929279020133,43.3437746980394,1.38982617112912e-10
"849","normas ~ size + nmds1 + clima + social + mating + dominance",36.6982399140426,0.0913816445245681,43.5112293694106,1.27819809377198e-10
"850","normas ~ size + nmds1 + nmds2 + clima + cvn + dominance",36.7979601398301,0.0837995488481244,43.6109495951981,1.21602973211966e-10
"851","normas ~ nmds1 + nmds2 + cvn + social + prop + mating + dominance",36.8263749756501,0.816463548263047,43.6393644310182,1.19887523860654e-10
"852","normas ~ nmds1 + nmds2 + clima + cvn + social + prop + mating",37.3559220310067,0.808182918746462,44.1689114863747,9.19992545594136e-11
"853","normas ~ size + nmds1 + clima + cvn + social + prop + dominance",37.4315715196079,0.806969860453775,44.2445609749759,8.8584396476715e-11
"854","normas ~ size + nmds1 + clima + social + prop + mating",37.4960296014969,0.028921189746205,44.309019056865,8.57749228378319e-11
"855","normas ~ nmds1 + nmds2 + cvn + social + prop + mating + integration",37.6384514009525,0.803613171250755,44.4514408563205,7.98792236405166e-11
"856","normas ~ size + nmds1 + nmds2 + social + mating + dominance + integration",38.1322176008576,0.795363852153859,44.9452070562256,6.24042067816569e-11
"857","normas ~ size + nmds1 + nmds2 + cvn + social + mating + dominance",38.1858109914555,0.794447879506212,44.9988004468235,6.07541865455817e-11
"858","normas ~ size + nmds1 + nmds2 + cvn + social + prop + dominance",38.4315081550704,0.790195867495638,45.2444976104384,5.37308547236809e-11
"859","normas ~ nmds1 + nmds2 + clima + cvn + social + prop + dominance",38.77179981432,0.784161157130001,45.584789269688,4.53242215998293e-11
"860","normas ~ nmds1 + nmds2 + cvn + social + prop + dominance + integration",38.8594929363417,0.782578081307169,45.6724823917097,4.33798488788726e-11
"861","normas ~ size + nmds1 + nmds2 + clima + social + mating + dominance",39.0096137014236,0.779841034623877,45.8226031567916,4.02429421908198e-11
"862","normas ~ size + nmds1 + cvn + social + prop + dominance + integration",39.5808024914827,0.76910826496521,46.3937919468508,3.0245283173291e-11
"863","normas ~ size + nmds1 + cvn + social + prop + mating + dominance",39.7060519093362,0.766685723092901,46.5190413647042,2.84092709908634e-11
"864","normas ~ size + nmds1 + nmds2 + clima + social + mating + integration",40.2333567835947,0.756204820256324,47.0463462389628,2.18251526965596e-11
"865","normas ~ size + nmds1 + nmds2 + clima + cvn + social + mating",40.284888896991,0.755155629004593,47.097878352359,2.12699874974306e-11
"866","normas ~ nmds1 + nmds2 + clima + cvn + social + prop + integration",40.3430350177803,0.753966354145648,47.1560244731483,2.06605065340996e-11
"867","normas ~ size + nmds1 + nmds2 + cvn + social + mating + integration",40.3455345819696,0.753915100733656,47.1585240373376,2.06347015316409e-11
"868","normas ~ nmds1 + nmds2 + clima + social + prop + mating + integration",40.5438161745389,0.749815145804876,47.356805629907,1.86870991851579e-11
"869","normas ~ nmds1 + nmds2 + clima + social + prop + mating + dominance",40.6968929323635,0.74660324603139,47.5098823877316,1.73101844309764e-11
"870","normas ~ size + nmds1 + clima + cvn + social + prop + integration",40.7877970518764,0.744676389545647,47.6007865072444,1.65410135091431e-11
