"","matings.genus","dimor_abs","normas","align_1","align_2","align_3","align_4","align_5","align_6","align_7","align_8","matings.dados.PARVORDER"
"1","Alouatta",0.142215085644345,-1.01954348273548,0.936434968387851,0.154341272180103,0.181919007917494,0.117223534784814,0.0474467160492303,0.0902660754195675,0.0902223403211351,0.0319039264019074,"Platyrrhini"
"2","Aotus",0.00906148612456995,-0.108624335295877,0.609675525478417,0.451348466057852,0.399094719754351,0.142035867774467,0.0944136204039022,0.0705963037276387,0.134093238564175,0.125097796869403,"Platyrrhini"
"3","Ateles",0.00878042759284867,-0.088895066186596,0.570616426822601,0.0565943441157591,0.392220648724109,0.194124888736074,0.226958844696478,0.0993792570015444,0.222129388406333,0.11693927226563,"Platyrrhini"
"4","Brachyteles",-0.00184378703977686,0.0433728160558805,0.229787079126823,0.453508184052525,0.184635002284696,0.106945346304835,0.311470101586079,0.0938385289058325,0.0773478531639584,0.374138541009051,"Platyrrhini"
"5","Cacajao",0.0530280695251178,-0.39497366416573,0.939706736208716,0.0906879928129482,0.170218648965204,0.139724860793602,0.0948594294585316,0.0906061503399347,0.00550723595538139,0.00597239731692513,"Platyrrhini"
"6","Callicebus",0.00921630503215669,-0.0756767729333538,0.850581780121651,0.126312557764119,0.00732602311912052,0.0957051105586626,0.116474759310729,0.177967520599544,0.118213763046466,0.157264246702649,"Platyrrhini"
"7","Callimico",0.0255191872444858,-0.254180866791225,0.74811386938896,0.372697247441374,0.168430906463018,0.0373405061976148,0.334902557262841,0.0921833057950908,0.0182688503559188,0.152967286007045,"Platyrrhini"
"8","Callithrix",-0.0016291142061702,0.0344070534789578,0.155419455696394,0.288759069404786,0.345402362254966,0.478466831198134,0.175707246009341,0.273005796753084,0.0397428269928783,0.0984065868478673,"Platyrrhini"
"9","Cebuella",-0.0310006220752115,0.250376332346574,0.797743152090598,0.0329806268594087,0.145056188733074,0.164647246289009,0.094960701007922,0.146376690840992,0.12595426139856,0.0150954974789172,"Platyrrhini"
"10","Cebus",0.0701646694092349,-0.490944026868082,0.967998922934192,0.0802988300254038,0.0790407250262878,0.0569550295069401,0.0154610180010859,0.0765510800441043,0.0589366831420591,0.0123415380140809,"Platyrrhini"
"11","Cercocebus",0.1480546010955,-1.07929806811566,0.972392365179826,0.0777818904183445,0.0676995225061876,0.102347153955793,0.0802411967225606,0.0478509010116287,0.00957464947288501,0.0157892407056939,"Catarrhini"
"12","Cercopithecus",0.0956552873863372,-0.67958532708516,0.967654610009346,0.0146854758366902,0.00575924305154514,0.0841467637191138,0.0674886520434851,0.0615608317527402,0.0719499623751677,0.000835918753354917,"Catarrhini"
"13","Chiropotes",0.0261174026994347,-0.211976628988273,0.838721944814621,0.142973954551783,0.200516634215539,0.153153085357355,0.292150799230241,0.0209258496773248,0.134819496716081,0.00639701032748551,"Platyrrhini"
